"otype","oid","tid"
"4","1","3"
"4","1","6"
"4","3","3"
"4","4","3"
"4","5","3"
"4","5","4"
"4","6","3"
"4","6","7"
"4","7","2"
"4","8","2"
"4","12","3"
"4","12","5"
"4","12","6"
"4","13","6"
"4","14","2"
"4","15","7"
"4","16","8"
"4","17","6"
"4","18","2"
"4","18","9"
"4","19","9"
"4","20","5"
"4","21","7"
"4","21","10"
"4","22","6"
"4","23","3"
"4","23","10"
"4","24","11"
"4","25","11"
"4","26","3"
"4","26","4"
"4","26","7"
"4","27","3"
"4","27","4"
"4","27","12"
"4","28","3"
"4","28","4"
"4","28","6"
"4","29","3"
"4","29","5"
"4","29","12"
"4","30","3"
"4","30","7"
"4","30","13"
"4","31","6"
